国家或地区,货币代码,价格,第 1 年所得,第 2 年所得
吉尔吉斯斯坦,USD,30.99,23.52,23.52
几内亚比绍,USD,29.99,25.49,25.49
加拿大,CAD,179.99,152.99,152.99
加纳,USD,50.99,35.55,35.55
加蓬,USD,59.99,50.99,50.99
柬埔寨,USD,149.99,115.9,115.9
捷克共和国,CZK,3490.0,2451.65,2451.65
津巴布韦,USD,49.99,35.1,35.1
喀麦隆,USD,29.99,21.38,21.38
卡塔尔,QAR,659.99,560.99,560.99
开曼群岛,USD,150.99,128.34,128.34
科索沃,EUR,100.99,72.75,72.75
科特迪瓦,USD,30.99,22.32,22.32
科威特,USD,150.99,128.34,128.34
克罗地亚,EUR,149.99,101.99,101.99
肯尼亚,USD,39.99,29.24,29.24
拉脱维亚,EUR,149.99,105.36,105.36
老挝,USD,39.99,30.9,30.9
黎巴嫩,USD,59.99,50.99,50.99
立陶宛,EUR,149.99,105.36,105.36
利比里亚,USD,29.99,25.49,25.49
利比亚,USD,59.99,50.99,50.99
卢森堡,EUR,149.99,108.97,108.97
卢旺达,USD,130.99,111.34,111.34
罗马尼亚,RON,699.99,491.73,491.73
马达加斯加,USD,29.99,25.49,25.49
马尔代夫,USD,130.99,111.34,111.34
马耳他,EUR,149.99,108.04,108.04
马拉维,USD,29.99,25.49,25.49
马来西亚,MYR,599.9,472.14,472.14
马里,USD,39.99,33.99,33.99
毛里求斯,USD,59.99,50.99,50.99
毛里塔尼亚,USD,29.99,25.49,25.49
美国,USD,150.99,128.34,128.34
蒙古,USD,30.95,26.31,26.31
蒙特塞拉特,USD,100.99,85.84,85.84
秘鲁,PEN,599.9,432.13,432.13
密克罗尼西亚,USD,30.99,26.34,26.34
缅甸,USD,33.0,28.05,28.05
摩尔多瓦,USD,50.99,36.12,36.12
摩洛哥,USD,55.0,46.75,46.75
莫桑比克,USD,30.95,26.31,26.31
墨西哥,MXN,4400.0,3224.14,3224.14
纳米比亚,USD,49.99,42.49,42.49
南非,ZAR,2499.99,1847.82,1847.82
瑙鲁,USD,55.0,46.75,46.75
尼加拉瓜,USD,130.99,111.34,111.34
尼泊尔,USD,33.0,24.33,24.33
尼日尔,USD,33.0,28.05,28.05
尼日利亚,NGN,110000.0,86976.74,86976.74
挪威,NOK,1790.0,1217.2,1217.2
帕劳,USD,55.0,46.75,46.75
葡萄牙,EUR,149.99,103.65,103.65
日本,JPY,160000,123636,123636
瑞典,SEK,1795.0,1220.6,1220.6
瑞士,CHF,140.0,110.08,110.08
萨尔瓦多,USD,55.0,46.75,46.75
塞尔维亚,EUR,149.99,106.24,106.24
塞拉利昂,USD,33.0,28.05,28.05
塞内加尔,USD,39.99,28.81,28.81
塞浦路斯,EUR,149.99,107.14,107.14
塞舌尔,USD,55.0,46.75,46.75
沙特阿拉伯,SAR,869.99,643.04,643.04
圣多美和普林西比,USD,33.0,28.05,28.05
圣基茨和尼维斯,USD,130.99,111.34,111.34
圣卢西亚,USD,130.99,111.34,111.34
圣文森特和格林纳丁斯,USD,130.99,111.34,111.34
斯里兰卡,USD,55.0,46.75,46.75
斯洛伐克,EUR,149.99,103.65,103.65
斯洛文尼亚,EUR,149.99,104.5,104.5
斯威士兰,USD,50.99,43.34,43.34
苏里南,USD,97.0,74.95,74.95
所罗门群岛,USD,40.99,34.84,34.84
塔吉克斯坦,USD,40.9,30.5,30.5
台湾,TWD,3990,3133,3133
泰国,THB,4990.0,3964.02,3964.02
坦桑尼亚,TZS,65000.0,45885.59,45885.59
汤加,USD,33.0,28.05,28.05
特克斯和凯科斯群岛,USD,160.99,136.84,136.84
特立尼达和多巴哥,USD,130.99,111.34,111.34
突尼斯,USD,55.0,46.75,46.75
土库曼斯坦,USD,30.95,26.31,26.31
瓦努阿图,USD,33.0,28.05,28.05
危地马拉,USD,100.99,85.84,85.84
委内瑞拉,USD,100.99,85.84,85.84
文莱,USD,130.99,111.34,111.34
乌干达,USD,33.0,22.58,22.58
乌克兰,USD,59.99,42.49,42.49
乌拉圭,USD,130.99,109.53,109.53
乌兹别克斯坦,USD,30.99,23.52,23.52
西班牙,EUR,149.99,105.13,105.13
希腊,EUR,149.99,102.82,102.82
香港,HKD,1100.0,935.0,935.0
新加坡,SGD,199.98,155.95,155.95
新西兰,NZD,229.99,169.99,169.99
匈牙利,HUF,59990,40151,40151
牙买加,USD,50.99,43.34,43.34
亚美尼亚,USD,55.0,38.96,38.96
也门,USD,30.95,26.31,26.31
伊拉克,USD,50.99,43.34,43.34
以色列,ILS,499.9,424.92,424.92
意大利,EUR,149.99,104.08,104.08
印度,INR,1700.0,1224.58,1224.58
印度尼西亚,IDR,2299000,1760495,1760495
英国,GBP,129.99,91.8,91.8
英属维尔京群岛,USD,150.99,128.34,128.34
约旦,USD,50.99,43.34,43.34
越南,VND,399000,291361,291361
赞比亚,USD,29.99,21.98,21.98
乍得,USD,29.99,25.49,25.49
智利,CLP,55000,39286,39286
中国大陆,CNY,268.0,225.77,225.77
Türkiye,TRY,4000.0,2620.83,2620.83
